f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,label,label_name,confidence,style,reason,payload
0.0,0.0,0.0,1.0,0.3964130434782609,0.35000000000000003,0.0,0.0,0.04601990049751244,0.03893991580558745,0.12,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.4,0.41666666666666663,1.0,0.375,0.0,0.2,0.2,0.8,0.36666666666666664,1.0,3,ALL_IN,0.9,value,Very strong hand with short effective stack,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""RIVER"",""holeCards"":[""2d"",""8s""],""communityCards"":[""Qc"",""8d"",""5d"",""8c"",""9s""],""pot"":871,""toCall"":0,""botStack"":481,""opponentStack"":407,""position"":""BIG_BLIND"",""playersCount"":6,""actions"":[""FOLD"",""CHECK"",""FOLD"",""CALL"",""FOLD"",""FOLD""],""opponentStyle"":""TIGHT_PASSIVE"",""minRaise"":20,""scenario"":""draw_pressure""}"
0.0,0.0,0.0,1.0,0.1716304347826087,0.30500000000000005,0.31785714285714284,0.1490787269681742,0.2604712041884817,0.2604712041884817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4,0.08333333333333337,1.0,0.125,0.0,0.2,0.0,0.0,0.39999999999999997,0.0,0,FOLD,0.64,discipline,Weak hand with insufficient equity,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""RIVER"",""holeCards"":[""2h"",""7c""],""communityCards"":[""Qd"",""Kc"",""9c"",""3s"",""2s""],""pot"":191,""toCall"":89,""botStack"":597,""opponentStack"":5987,""position"":""BUTTON"",""playersCount"":2,""actions"":[""CALL""],""opponentStyle"":""UNKNOWN"",""minRaise"":50,""scenario"":""trash""}"
0.0,1.0,0.0,0.0,0.196268115942029,0.9949999999999999,0.44786729857819907,0.009965200885795633,1.0,0.40665236051502146,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.25,1.0,0.125,0.0,0.6,0.0,0.0,0.5,1.0,0,FOLD,0.64,discipline,Weak hand with insufficient equity,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""Jh"",""Jd""],""communityCards"":[""Qh"",""3d"",""8c""],""pot"":233,""toCall"":189,""botStack"":18966,""opponentStack"":1137,""position"":""BUTTON"",""playersCount"":2,""actions"":[""CALL"",""CALL"",""CALL""],""opponentStyle"":""CALLING_STATION"",""minRaise"":100,""scenario"":""premium_preflop""}"
0.0,1.0,0.0,0.0,0.07579710144927537,0.502,0.0,0.0,0.13602675343456255,0.0888467100506146,1.0,0.2857142857142857,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4166666666666667,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1,CHECK_CALL,0.68,draw,Draw has acceptable price,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""7d"",""6d""],""communityCards"":[""9d"",""8h"",""3c""],""pot"":922,""toCall"":0,""botStack"":1505,""opponentStack"":983,""position"":""BUTTON"",""playersCount"":4,""actions"":[],""opponentStyle"":""PASSIVE"",""minRaise"":100,""scenario"":""speculative""}"
0.0,1.0,0.0,0.0,0.19083333333333335,1.0,0.0,0.0,1.0,0.15262172284644196,0.12,0.42857142857142855,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,0.3333333333333333,0.33333333333333337,1.0,0.125,0.0,0.0,0.0,0.0,0.35,1.0,1,CHECK_CALL,0.66,pot_control,Weak or marginal hand takes free card,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""Qd"",""Qh""],""communityCards"":[""2d"",""10h"",""5c""],""pot"":178,""toCall"":0,""botStack"":3839,""opponentStack"":326,""position"":""BIG_BLIND"",""playersCount"":5,""actions"":[],""opponentStyle"":""PASSIVE"",""minRaise"":20,""scenario"":""premium_preflop""}"
0.0,0.0,1.0,0.0,0.19409420289855073,0.9299999999999999,0.44984802431610943,0.12611844908393693,0.5402854511970534,0.5230202578268877,0.12,0.42857142857142855,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.75,0.08333333333333337,1.0,0.125,0.0,0.2,0.0,0.2,0.39999999999999997,0.0,0,FOLD,0.76,discipline,Weak hand facing costly or aggressive action,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""TURN"",""holeCards"":[""10s"",""10c""],""communityCards"":[""2s"",""8s"",""3h"",""Ks""],""pot"":362,""toCall"":296,""botStack"":2347,""opponentStack"":2272,""position"":""SMALL_BLIND"",""playersCount"":5,""actions"":[""FOLD"",""CALL""],""opponentStyle"":""AGGRESSIVE"",""minRaise"":50,""scenario"":""premium_preflop""}"
0.0,1.0,0.0,0.0,0.171268115942029,0.37000000000000005,0.2111111111111111,0.17900403768506057,0.12458081824279006,0.12458081824279006,0.12,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.25,1.0,0.125,0.4,0.4,0.6,0.0,0.6833333333333333,1.0,0,FOLD,0.76,discipline,Weak hand facing costly or aggressive action,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""8c"",""3s""],""communityCards"":[""Jc"",""Qd"",""3c""],""pot"":497,""toCall"":133,""botStack"":743,""opponentStack"":1848,""position"":""SMALL_BLIND"",""playersCount"":6,""actions"":[""CALL"",""CHECK"",""CALL"",""CHECK"",""RAISE"",""RAISE"",""CHECK""],""opponentStyle"":""PASSIVE"",""minRaise"":50,""scenario"":""balanced""}"
0.0,1.0,0.0,0.0,0.10094202898550726,0.6000000000000001,0.0,0.0,0.8058991981672393,0.12875143184421536,1.0,0.14285714285714285,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.25,0.0,0.0,0.0,0.6,0.2,0.0,0.4666666666666666,0.75,1,CHECK_CALL,0.66,pot_control,Weak or marginal hand takes free card,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""5h"",""Jh""],""communityCards"":[""8d"",""4s"",""Kc""],""pot"":1455,""toCall"":0,""botStack"":14071,""opponentStack"":2248,""position"":""LATE"",""playersCount"":3,""actions"":[""CALL"",""CALL"",""CALL"",""CHECK""],""opponentStyle"":""UNKNOWN"",""minRaise"":100,""scenario"":""draw_pressure""}"
0.0,1.0,0.0,0.0,0.19771739130434784,0.7999999999999999,0.20355731225296442,0.07436823104693141,0.28639371381306866,0.053349875930521096,1.0,0.5714285714285714,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.41666666666666663,1.0,0.125,0.0,0.2,0.0,0.0,0.39999999999999997,0.0,0,FOLD,0.64,discipline,Weak hand with insufficient equity,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""8h"",""8s""],""communityCards"":[""7c"",""Qh"",""As""],""pot"":403,""toCall"":103,""botStack"":1385,""opponentStack"":258,""position"":""BUTTON"",""playersCount"":6,""actions"":[""CALL""],""opponentStyle"":""UNKNOWN"",""minRaise"":20,""scenario"":""draw_pressure""}"
0.0,1.0,0.0,0.0,0.10601449275362321,0.372,0.186219739292365,0.04549590536851683,0.41914569031273835,0.41914569031273835,0.12,0.5714285714285714,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0,FOLD,0.76,discipline,Weak hand facing costly or aggressive action,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""4h"",""5h""],""communityCards"":[""Kh"",""10s"",""Qc""],""pot"":1311,""toCall"":300,""botStack"":6594,""opponentStack"":15458,""position"":""EARLY"",""playersCount"":6,""actions"":[],""opponentStyle"":""AGGRESSIVE"",""minRaise"":100,""scenario"":""balanced""}"
0.0,1.0,0.0,0.0,0.1857608695652174,0.67,0.0,0.0,0.560077519379845,0.13614341085271317,0.12,0.42857142857142855,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.16666666666666663,1.0,0.125,0.4,0.0,0.0,0.6,0.6833333333333333,0.0,1,CHECK_CALL,0.68,draw,Draw has acceptable price,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""6c"",""6h""],""communityCards"":[""Ah"",""Qh"",""4h""],""pot"":516,""toCall"":0,""botStack"":3468,""opponentStack"":843,""position"":""SMALL_BLIND"",""playersCount"":5,""actions"":[""FOLD"",""RAISE"",""FOLD"",""FOLD"",""RAISE""],""opponentStyle"":""UNKNOWN"",""minRaise"":50,""scenario"":""draw_pressure""}"
0.0,0.0,0.0,1.0,0.1065217391304348,0.5,0.09174311926605505,0.03561253561253561,0.23636363636363636,0.0601010101010101,0.12,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.4,0.08333333333333337,0.0,0.0,0.2,0.4,0.2,0.0,0.5833333333333334,0.0,1,CHECK_CALL,0.68,draw,Draw has acceptable price,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""RIVER"",""holeCards"":[""10h"",""5s""],""communityCards"":[""6d"",""9c"",""Ad"",""3s"",""4c""],""pot"":1485,""toCall"":150,""botStack"":4212,""opponentStack"":1071,""position"":""SMALL_BLIND"",""playersCount"":3,""actions"":[""RAISE"",""CALL"",""CHECK"",""CALL""],""opponentStyle"":""UNKNOWN"",""minRaise"":50,""scenario"":""draw_pressure""}"
0.0,0.0,1.0,0.0,0.09543478260869567,0.5279999999999999,0.24311639549436795,0.39341772151898735,0.06803775664875293,0.06803775664875293,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.75,0.25,0.0,0.0,0.0,0.2,0.2,0.0,0.36666666666666664,0.75,0,FOLD,0.76,discipline,Weak hand facing costly or aggressive action,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""TURN"",""holeCards"":[""6d"",""10c""],""communityCards"":[""7s"",""Jd"",""2d"",""9d""],""pot"":2419,""toCall"":777,""botStack"":1975,""opponentStack"":6070,""position"":""LATE"",""playersCount"":3,""actions"":[""CALL"",""CHECK""],""opponentStyle"":""UNKNOWN"",""minRaise"":100,""scenario"":""draw_pressure""}"
0.0,1.0,0.0,0.0,0.19119565217391304,0.65,0.27735849056603773,0.014845485760452434,1.0,0.19560487380330724,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.6666666666666666,0.41666666666666663,1.0,0.125,0.2,0.4,0.2,0.6,0.5833333333333334,1.0,0,FOLD,0.64,discipline,Weak hand with insufficient equity,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""Kc"",""3c""],""communityCards"":[""7h"",""Kh"",""6c""],""pot"":383,""toCall"":147,""botStack"":9902,""opponentStack"":899,""position"":""BUTTON"",""playersCount"":2,""actions"":[""CALL"",""FOLD"",""CALL"",""FOLD"",""FOLD"",""CHECK"",""RAISE""],""opponentStyle"":""TIGHT_PASSIVE"",""minRaise"":50,""scenario"":""draw_pressure""}"
0.0,1.0,0.0,0.0,0.08760869565217394,0.6349999999999999,0.4049904030710173,0.21685508735868447,0.2615591397849462,0.2615591397849462,0.12,0.42857142857142855,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.9166666666666666,1.0,0.5833333333333333,0.0,0.0,0.0,0.6,0.4,0.2,0.4333333333333333,0.75,0,FOLD,0.64,discipline,Weak hand with insufficient equity,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""Kc"",""5d""],""communityCards"":[""2s"",""6s"",""7s""],""pot"":310,""toCall"":211,""botStack"":973,""opponentStack"":1894,""position"":""SMALL_BLIND"",""playersCount"":5,""actions"":[""CALL"",""CHECK"",""CALL"",""FOLD"",""CALL"",""CHECK""],""opponentStyle"":""UNKNOWN"",""minRaise"":20,""scenario"":""draw_pressure""}"
0.0,0.0,1.0,0.0,0.08623188405797101,0.30500000000000005,0.33037037037037037,0.21566731141199227,0.19063421828908556,0.1122787610619469,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4166666666666667,0.5,0.5,0.0,0.0,0.0,0.2,0.4,0.0,0.3333333333333333,0.75,0,FOLD,0.64,discipline,Weak hand with insufficient equity,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""TURN"",""holeCards"":[""2h"",""7d""],""communityCards"":[""8h"",""6h"",""Jc"",""5c""],""pot"":452,""toCall"":223,""botStack"":1034,""opponentStack"":609,""position"":""BUTTON"",""playersCount"":5,""actions"":[""CHECK"",""CHECK"",""CALL""],""opponentStyle"":""UNKNOWN"",""minRaise"":20,""scenario"":""trash""}"
0.0,0.0,0.0,1.0,0.19409420289855073,0.545,0.27286918513893227,0.18889129025286364,0.165557463861457,0.06959353084299413,0.12,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.75,0.6,0.16666666666666663,1.0,0.125,0.0,0.6,0.0,0.2,0.5,1.0,1,CHECK_CALL,0.68,draw,Draw has acceptable price,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""RIVER"",""holeCards"":[""5c"",""Jh""],""communityCards"":[""Qc"",""2h"",""4h"",""9h"",""9c""],""pot"":2329,""toCall"":874,""botStack"":4627,""opponentStack"":1945,""position"":""BIG_BLIND"",""playersCount"":3,""actions"":[""CALL"",""CALL"",""FOLD"",""CALL""],""opponentStyle"":""PASSIVE"",""minRaise"":100,""scenario"":""value_spot""}"
0.0,1.0,0.0,0.0,0.10369565217391306,0.755,0.0,0.0,0.324685534591195,0.03930817610062893,1.0,0.2857142857142857,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.6,0.4,0.0,0.4333333333333333,1.0,1,CHECK_CALL,0.66,pot_control,Weak or marginal hand takes free card,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""Ac"",""6c""],""communityCards"":[""Qh"",""5c"",""3h""],""pot"":424,""toCall"":0,""botStack"":1652,""opponentStack"":200,""position"":""BUTTON"",""playersCount"":4,""actions"":[""CALL"",""CHECK"",""CHECK"",""CALL"",""CALL""],""opponentStyle"":""PASSIVE"",""minRaise"":20,""scenario"":""value_spot""}"
0.0,1.0,0.0,0.0,0.193731884057971,0.512,0.17620650953984288,0.34850166481687017,0.051146684831970934,0.051146684831970934,0.12,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.5,1.0,0.125,0.0,0.8,0.4,0.0,0.4833333333333333,1.0,0,FOLD,0.76,discipline,Weak hand facing costly or aggressive action,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""8h"",""7d""],""communityCards"":[""Qs"",""Qd"",""6c""],""pot"":1468,""toCall"":314,""botStack"":901,""opponentStack"":7639,""position"":""EARLY"",""playersCount"":6,""actions"":[""CHECK"",""CALL"",""CALL"",""CHECK"",""CALL"",""CALL""],""opponentStyle"":""PASSIVE"",""minRaise"":100,""scenario"":""speculative""}"
